,hour,minute,second,azimuth,elevation,power
2016-11-23 09:45:05,0.47368421052631576,0.7627118644067796,0.0847457627118644,0.0,0.0,32.0
2016-11-23 09:45:12,0.47368421052631576,0.7627118644067796,0.2033898305084746,0.0,0.3333333333333333,34.0
2016-11-23 09:45:15,0.47368421052631576,0.7627118644067796,0.2542372881355932,0.0,0.5,35.0
2016-11-23 09:45:18,0.47368421052631576,0.7627118644067796,0.3050847457627119,0.0,0.6666666666666666,51.0
2016-11-23 09:45:21,0.47368421052631576,0.7627118644067796,0.3559322033898305,0.0,0.8333333333333334,76.0
2016-11-23 09:45:27,0.47368421052631576,0.7627118644067796,0.4576271186440678,0.1,0.0,20.0
2016-11-23 09:45:32,0.47368421052631576,0.7627118644067796,0.5423728813559322,0.1,0.16666666666666666,22.0
2016-11-23 09:45:44,0.47368421052631576,0.7627118644067796,0.7457627118644068,0.1,0.8333333333333334,61.0
2016-11-23 09:45:50,0.47368421052631576,0.7627118644067796,0.847457627118644,0.2,0.0,16.0
2016-11-23 09:45:55,0.47368421052631576,0.7627118644067796,0.9322033898305084,0.2,0.16666666666666666,20.0
2016-11-23 09:45:58,0.47368421052631576,0.7627118644067796,0.9830508474576272,0.2,0.3333333333333333,32.0
2016-11-23 09:46:01,0.47368421052631576,0.7796610169491526,0.01694915254237288,0.2,0.5,36.0
2016-11-23 09:46:04,0.47368421052631576,0.7796610169491526,0.06779661016949153,0.2,0.6666666666666666,44.0
2016-11-23 09:46:18,0.47368421052631576,0.7796610169491526,0.3050847457627119,0.3,0.16666666666666666,132.0
2016-11-23 09:46:21,0.47368421052631576,0.7796610169491526,0.3559322033898305,0.3,0.3333333333333333,135.0
2016-11-23 09:46:24,0.47368421052631576,0.7796610169491526,0.4067796610169492,0.3,0.5,135.0
2016-11-23 09:46:27,0.47368421052631576,0.7796610169491526,0.4576271186440678,0.3,0.6666666666666666,126.0
2016-11-23 09:46:30,0.47368421052631576,0.7796610169491526,0.5084745762711864,0.3,0.8333333333333334,111.0
2016-11-23 09:46:33,0.47368421052631576,0.7796610169491526,0.559322033898305,0.3,1.0,93.0
2016-11-23 09:46:36,0.47368421052631576,0.7796610169491526,0.6101694915254238,0.4,0.0,129.0
2016-11-23 09:46:41,0.47368421052631576,0.7796610169491526,0.6949152542372882,0.4,0.16666666666666666,130.0
2016-11-23 09:46:44,0.47368421052631576,0.7796610169491526,0.7457627118644068,0.4,0.3333333333333333,139.0
2016-11-23 09:46:47,0.47368421052631576,0.7796610169491526,0.7966101694915254,0.4,0.5,133.0
2016-11-23 09:46:50,0.47368421052631576,0.7796610169491526,0.847457627118644,0.4,0.6666666666666666,126.0
2016-11-23 09:46:53,0.47368421052631576,0.7796610169491526,0.8983050847457628,0.4,0.8333333333333334,112.0
2016-11-23 09:46:59,0.47368421052631576,0.7796610169491526,1.0,0.5,0.0,109.0
2016-11-23 09:47:04,0.47368421052631576,0.7966101694915254,0.06779661016949153,0.5,0.16666666666666666,119.0
2016-11-23 09:47:07,0.47368421052631576,0.7966101694915254,0.11864406779661017,0.5,0.3333333333333333,130.0
2016-11-23 09:47:10,0.47368421052631576,0.7966101694915254,0.1694915254237288,0.5,0.5,128.0
2016-11-23 09:47:13,0.47368421052631576,0.7966101694915254,0.22033898305084745,0.5,0.6666666666666666,127.0
2016-11-23 09:47:16,0.47368421052631576,0.7966101694915254,0.2711864406779661,0.5,0.8333333333333334,100.0
2016-11-23 09:47:19,0.47368421052631576,0.7966101694915254,0.3220338983050847,0.5,1.0,89.0
2016-11-23 09:47:22,0.47368421052631576,0.7966101694915254,0.3728813559322034,0.6,0.0,91.0
2016-11-23 09:47:27,0.47368421052631576,0.7966101694915254,0.4576271186440678,0.6,0.16666666666666666,93.0
2016-11-23 09:47:30,0.47368421052631576,0.7966101694915254,0.5084745762711864,0.6,0.3333333333333333,102.0
2016-11-23 09:47:33,0.47368421052631576,0.7966101694915254,0.559322033898305,0.6,0.5,103.0
2016-11-23 09:47:36,0.47368421052631576,0.7966101694915254,0.6101694915254238,0.6,0.6666666666666666,103.0
2016-11-23 09:47:39,0.47368421052631576,0.7966101694915254,0.6610169491525424,0.6,0.8333333333333334,92.0
2016-11-23 09:47:42,0.47368421052631576,0.7966101694915254,0.711864406779661,0.6,1.0,95.0
2016-11-23 09:47:45,0.47368421052631576,0.7966101694915254,0.7627118644067796,0.7,0.0,77.0
2016-11-23 09:47:50,0.47368421052631576,0.7966101694915254,0.847457627118644,0.7,0.16666666666666666,80.0
2016-11-23 09:47:53,0.47368421052631576,0.7966101694915254,0.8983050847457628,0.7,0.3333333333333333,84.0
2016-11-23 09:47:56,0.47368421052631576,0.7966101694915254,0.9491525423728814,0.7,0.5,95.0
2016-11-23 09:47:59,0.47368421052631576,0.7966101694915254,1.0,0.7,0.6666666666666666,103.0
2016-11-23 09:48:02,0.47368421052631576,0.8135593220338984,0.03389830508474576,0.7,0.8333333333333334,113.0
2016-11-23 09:48:05,0.47368421052631576,0.8135593220338984,0.0847457627118644,0.7,1.0,115.0
2016-11-23 09:48:08,0.47368421052631576,0.8135593220338984,0.13559322033898305,0.8,0.0,70.0
2016-11-23 09:48:13,0.47368421052631576,0.8135593220338984,0.22033898305084745,0.8,0.16666666666666666,66.0
2016-11-23 09:48:16,0.47368421052631576,0.8135593220338984,0.2711864406779661,0.8,0.3333333333333333,67.0
2016-11-23 09:48:19,0.47368421052631576,0.8135593220338984,0.3220338983050847,0.8,0.5,68.0
