,hour,minute,second,azimuth,elevation,power
2016-11-23 14:46:27,0.7368421052631579,0.7796610169491526,0.4576271186440678,0.2,1.0,172.0
2016-11-23 14:46:30,0.7368421052631579,0.7796610169491526,0.5084745762711864,0.3,0.0,108.0
2016-11-23 14:46:35,0.7368421052631579,0.7796610169491526,0.5932203389830508,0.3,0.16666666666666666,159.0
2016-11-23 14:46:38,0.7368421052631579,0.7796610169491526,0.6440677966101694,0.3,0.3333333333333333,213.0
2016-11-23 14:46:41,0.7368421052631579,0.7796610169491526,0.6949152542372882,0.3,0.5,105.0
2016-11-23 14:46:46,0.7368421052631579,0.7796610169491526,0.7796610169491526,0.0,0.16666666666666666,
2016-11-23 14:46:51,0.7368421052631579,0.7796610169491526,0.864406779661017,0.0,0.3333333333333333,
2016-11-23 14:46:56,0.7368421052631579,0.7796610169491526,0.9491525423728814,0.0,0.5,
2016-11-23 14:47:01,0.7368421052631579,0.7966101694915254,0.01694915254237288,0.0,0.6666666666666666,
2016-11-23 14:47:06,0.7368421052631579,0.7966101694915254,0.1016949152542373,0.0,0.8333333333333334,
2016-11-23 14:47:11,0.7368421052631579,0.7966101694915254,0.1864406779661017,0.0,1.0,
2016-11-23 14:47:16,0.7368421052631579,0.7966101694915254,0.2711864406779661,0.1,0.0,
2016-11-23 14:47:21,0.7368421052631579,0.7966101694915254,0.3559322033898305,0.1,0.16666666666666666,
2016-11-23 14:47:26,0.7368421052631579,0.7966101694915254,0.4406779661016949,0.1,0.3333333333333333,
2016-11-23 14:47:31,0.7368421052631579,0.7966101694915254,0.5254237288135594,0.1,0.5,
2016-11-23 14:47:36,0.7368421052631579,0.7966101694915254,0.6101694915254238,0.1,0.6666666666666666,
2016-11-23 14:47:41,0.7368421052631579,0.7966101694915254,0.6949152542372882,0.1,0.8333333333333334,
2016-11-23 14:47:46,0.7368421052631579,0.7966101694915254,0.7796610169491526,0.1,1.0,
2016-11-23 14:47:51,0.7368421052631579,0.7966101694915254,0.864406779661017,0.2,0.0,
2016-11-23 14:47:56,0.7368421052631579,0.7966101694915254,0.9491525423728814,0.2,0.16666666666666666,
2016-11-23 14:48:01,0.7368421052631579,0.8135593220338984,0.01694915254237288,0.2,0.3333333333333333,
2016-11-23 14:48:06,0.7368421052631579,0.8135593220338984,0.1016949152542373,0.2,0.5,
2016-11-23 14:48:11,0.7368421052631579,0.8135593220338984,0.1864406779661017,0.2,0.6666666666666666,
2016-11-23 14:48:16,0.7368421052631579,0.8135593220338984,0.2711864406779661,0.2,0.8333333333333334,
2016-11-23 14:48:21,0.7368421052631579,0.8135593220338984,0.3559322033898305,0.2,1.0,
2016-11-23 14:48:26,0.7368421052631579,0.8135593220338984,0.4406779661016949,0.3,0.0,
2016-11-23 14:48:31,0.7368421052631579,0.8135593220338984,0.5254237288135594,0.3,0.16666666666666666,
2016-11-23 14:48:36,0.7368421052631579,0.8135593220338984,0.6101694915254238,0.3,0.3333333333333333,
2016-11-23 14:48:41,0.7368421052631579,0.8135593220338984,0.6949152542372882,0.3,0.5,
2016-11-23 14:48:46,0.7368421052631579,0.8135593220338984,0.7796610169491526,0.3,0.6666666666666666,
2016-11-23 14:48:51,0.7368421052631579,0.8135593220338984,0.864406779661017,0.3,0.8333333333333334,
2016-11-23 14:48:56,0.7368421052631579,0.8135593220338984,0.9491525423728814,0.3,1.0,
2016-11-23 14:49:01,0.7368421052631579,0.8305084745762712,0.01694915254237288,0.4,0.0,
2016-11-23 14:49:06,0.7368421052631579,0.8305084745762712,0.1016949152542373,0.4,0.16666666666666666,
2016-11-23 14:49:11,0.7368421052631579,0.8305084745762712,0.1864406779661017,0.4,0.3333333333333333,
2016-11-23 14:49:16,0.7368421052631579,0.8305084745762712,0.2711864406779661,0.4,0.5,
2016-11-23 14:49:21,0.7368421052631579,0.8305084745762712,0.3559322033898305,0.4,0.6666666666666666,
2016-11-23 14:49:26,0.7368421052631579,0.8305084745762712,0.4406779661016949,0.4,0.8333333333333334,
2016-11-23 14:49:31,0.7368421052631579,0.8305084745762712,0.5254237288135594,0.4,1.0,
2016-11-23 14:49:36,0.7368421052631579,0.8305084745762712,0.6101694915254238,0.5,0.0,
2016-11-23 14:49:41,0.7368421052631579,0.8305084745762712,0.6949152542372882,0.5,0.16666666666666666,
2016-11-23 14:49:46,0.7368421052631579,0.8305084745762712,0.7796610169491526,0.5,0.3333333333333333,
2016-11-23 14:49:51,0.7368421052631579,0.8305084745762712,0.864406779661017,0.5,0.5,
2016-11-23 14:49:56,0.7368421052631579,0.8305084745762712,0.9491525423728814,0.5,0.6666666666666666,
2016-11-23 14:50:01,0.7368421052631579,0.847457627118644,0.01694915254237288,0.5,0.8333333333333334,
2016-11-23 14:50:06,0.7368421052631579,0.847457627118644,0.1016949152542373,0.5,1.0,
2016-11-23 14:50:11,0.7368421052631579,0.847457627118644,0.1864406779661017,0.6,0.0,
2016-11-23 14:50:16,0.7368421052631579,0.847457627118644,0.2711864406779661,0.6,0.16666666666666666,
2016-11-23 14:50:21,0.7368421052631579,0.847457627118644,0.3559322033898305,0.6,0.3333333333333333,
2016-11-23 14:50:26,0.7368421052631579,0.847457627118644,0.4406779661016949,0.6,0.5,
2016-11-23 14:50:31,0.7368421052631579,0.847457627118644,0.5254237288135594,0.6,0.6666666666666666,
2016-11-23 14:50:36,0.7368421052631579,0.847457627118644,0.6101694915254238,0.6,0.8333333333333334,
2016-11-23 14:50:41,0.7368421052631579,0.847457627118644,0.6949152542372882,0.6,1.0,
2016-11-23 14:50:46,0.7368421052631579,0.847457627118644,0.7796610169491526,0.7,0.0,
2016-11-23 14:50:51,0.7368421052631579,0.847457627118644,0.864406779661017,0.7,0.16666666666666666,
