hour, minute, second, azimuth angle (relative to west=0)/degree, elevation angle/degree, power/mW
11,1,35,180,90,205
11,6,50,0,0,133
11,6,54,0,15,141
11,6,57,0,30,148
11,7,0,0,45,146
11,7,3,0,60,140
11,7,6,0,75,125
11,7,9,0,90,110
11,7,12,18,0,155
11,7,17,18,15,163
11,7,20,18,30,166
11,7,23,18,45,162
11,7,26,18,60,153
11,7,29,18,75,133
11,7,32,18,90,110
11,7,35,36,0,162
11,7,40,36,15,167
11,7,43,36,30,170
11,7,46,36,45,162
11,7,49,36,60,152
11,7,52,36,75,133
11,7,55,36,90,109
11,7,58,54,0,162
11,8,3,54,15,167
11,8,6,54,30,168
11,8,9,54,45,161
11,8,12,54,60,149
11,8,15,54,75,129
11,8,18,54,90,105
11,8,21,72,0,155
11,8,25,72,15,160
11,8,28,72,30,163
11,8,31,72,45,156
11,8,34,72,60,146
11,8,37,72,75,127
11,8,40,72,90,107
11,8,43,90,0,149
11,8,48,90,15,153
11,8,51,90,30,154
11,8,54,90,45,149
11,8,57,90,60,140
11,9,0,90,75,125
11,9,3,90,90,106
11,9,6,108,0,135
11,9,11,108,15,139
11,9,14,108,30,141
11,9,17,108,45,139
11,9,20,108,60,134
11,9,23,108,75,120
11,9,26,108,90,105
11,9,29,126,0,114
11,9,34,126,15,117
11,9,37,126,30,119
11,9,40,126,45,119
11,9,43,126,60,117
11,9,46,126,75,111
11,9,49,126,90,103
11,9,52,144,0,96
11,9,57,144,15,96
11,10,0,144,30,97
11,10,3,144,45,100
11,10,6,144,60,102
11,10,9,144,75,103
11,10,12,144,90,104
11,10,15,162,0,87
11,10,20,162,15,85
11,10,23,162,30,81
11,10,26,162,45,84
11,10,29,162,60,93
11,10,32,162,75,96
11,10,35,162,90,100
11,10,38,180,0,78
11,10,43,180,15,75
11,10,46,180,30,70
11,10,49,180,45,69
11,10,52,180,60,72
11,10,55,180,75,82
11,10,58,180,90,95
11,16,13,0,0,129
11,16,17,0,15,140
11,16,20,0,30,151
11,16,23,0,45,155
11,16,26,0,60,163
11,16,29,0,75,156
11,16,32,0,90,136
11,16,35,18,0,170
11,16,40,18,15,182
11,16,43,18,30,189
11,16,46,18,45,192
11,16,49,18,60,191
11,16,52,18,75,175
11,16,55,18,90,148
11,16,58,36,0,199
11,17,3,36,15,209
11,17,6,36,30,212
11,17,9,36,45,206
11,17,12,36,60,198
11,17,15,36,75,178
11,17,18,36,90,149
11,17,21,54,0,206
11,17,26,54,15,213
11,17,29,54,30,218
11,17,32,54,45,214
11,17,35,54,60,205
11,17,38,54,75,179
11,17,41,54,90,149
11,17,44,72,0,244
11,17,49,72,15,285
11,17,52,72,30,321
11,17,55,72,45,332
11,17,58,72,60,303
11,18,1,72,75,258
11,18,4,72,90,221
11,18,7,90,0,343
11,18,11,90,15,356
11,18,14,90,30,347
11,18,17,90,45,313
11,18,20,90,60,265
11,18,23,90,75,227
11,18,26,90,90,193
11,18,29,108,0,274
11,18,34,108,15,299
11,18,37,108,30,322
11,18,40,108,45,340
11,18,43,108,60,340
11,18,46,108,75,299
11,18,49,108,90,226
11,18,52,126,0,209
11,18,57,126,15,209
11,19,0,126,30,205
11,19,3,126,45,191
11,19,6,126,60,184
11,19,9,126,75,172
11,19,12,126,90,160
11,19,15,144,0,141
11,19,20,144,15,152
11,19,23,144,30,167
11,19,26,144,45,172
11,19,29,144,60,163
11,19,32,144,75,154
11,19,35,144,90,151
11,19,38,162,0,114
11,19,43,162,15,110
11,19,46,162,30,110
11,19,49,162,45,117
11,19,52,162,60,130
11,19,55,162,75,152
11,19,58,162,90,191
11,20,1,180,0,149
11,20,6,180,15,127
11,20,9,180,30,103
11,20,12,180,45,90
11,20,15,180,60,101
11,20,18,180,75,121
11,20,21,180,90,144
11,25,36,0,0,168
11,25,40,0,15,200
11,25,43,0,30,231
11,25,46,0,45,217
11,25,49,0,60,190
11,25,52,0,75,175
11,25,55,0,90,160
11,25,58,18,0,229
11,26,3,18,15,246
11,26,6,18,30,259
11,26,9,18,45,271
11,26,12,18,60,266
11,26,15,18,75,252
11,26,18,18,90,226
11,26,21,36,0,322
11,26,26,36,15,306
11,26,29,36,30,287
11,26,32,36,45,274
11,26,35,36,60,266
11,26,38,36,75,233
11,26,41,36,90,188
11,26,44,54,0,295
11,26,49,54,15,319
11,26,52,54,30,321
11,26,55,54,45,308
11,26,58,54,60,316
11,27,1,54,75,290
11,27,4,54,90,239
11,27,7,72,0,364
11,27,12,72,15,370
11,27,15,72,30,373
11,27,18,72,45,366
11,27,21,72,60,356
11,27,24,72,75,331
